ID,POIID,Distance
4516516,POI3,593.4134412324522
4516547,POI3,677.3096549572074
4516550,POI3,569.6477373989126
4516600,POI3,634.7339960242028
4516613,POI3,634.7339960242028
4516693,POI3,597.3787433319694
4516771,POI3,756.6282143405341
4516915,POI3,666.9416656643995
4516953,POI3,598.1304004974268
4516966,POI3,597.3787433319694
4517044,POI3,839.2393067655212
4517081,POI3,837.2215116755584
4517175,POI3,680.2278980833036
4517220,POI3,596.9319139426246
4517250,POI3,769.6611559032152
4517326,POI3,574.7565039488518
4517349,POI3,769.6611559032152
4517420,POI3,573.2728103037383
4517466,POI3,601.406072732324
4517518,POI3,596.9319139426246
4517538,POI3,595.620647967634
4517607,POI3,769.6611559032152
4517697,POI3,827.613627233601
4517720,POI3,591.7627511776319
4517809,POI3,671.3532920706175
4517811,POI3,584.8412550922511
4517905,POI3,832.955904477665
4517999,POI3,594.7095447189165
4518002,POI3,591.7627511776319
4518061,POI3,601.406072732324
4518130,POI3,671.5610518418072
4518153,POI3,574.7565039488518
4518212,POI3,598.1304004974268
4518264,POI3,584.4813188636394
4518329,POI3,677.3096549572074
4518395,POI3,835.1729098141858
4518430,POI3,591.5603298000057
4518434,POI3,569.6477373989126
4518512,POI3,674.2112278398075
4518585,POI3,569.6477373989126
4518676,POI3,591.7627511776319
4518758,POI3,591.7627511776319
4518814,POI3,584.4813188636394
4518832,POI3,591.7627511776319
4518887,POI3,596.9319139426246
4518918,POI3,677.3096549572074
4518952,POI3,588.9976015604868
4518992,POI3,601.406072732324
4519038,POI3,840.7534890680172
4519097,POI3,677.3096549572074
4519118,POI3,840.7534890680172
4519156,POI3,840.7534890680172
4519209,POI3,607.4186653652306
4519287,POI3,593.9675941667565
4519378,POI3,591.7627511776319
4519477,POI3,832.955904477665
4519555,POI3,598.2674015732941
4519604,POI3,588.9976015604868
4519633,POI3,671.2342130985057
4519710,POI3,599.747688066329
4519736,POI3,597.3787433319694
4519766,POI3,836.6775934572111
4519856,POI3,595.620647967634
4519930,POI3,671.5610518418072
4520019,POI3,569.6477373989126
4520130,POI3,666.9416656643995
4520149,POI3,569.6477373989126
4520192,POI3,569.6477373989126
4520296,POI3,666.9416656643995
4520349,POI3,594.7095447189165
4520395,POI3,591.7627511776319
4520446,POI3,675.7481451270384
4520587,POI3,773.2547184567475
4520685,POI3,588.9976015604868
4520740,POI3,588.9976015604868
4520751,POI3,667.225767591775
4520821,POI3,758.5928049550583
4520907,POI3,666.9416656643995
4520995,POI3,666.9416656643995
4521119,POI3,597.3787433319694
4521184,POI3,673.3328329702291
4521259,POI3,675.7481451270384
4521353,POI3,837.025120365955
4521387,POI3,595.620647967634
4521468,POI3,595.620647967634
4521539,POI3,594.7095447189165
4521574,POI3,590.2189157995682
4521618,POI3,586.125075835175
4521682,POI3,674.2112278398075
4521726,POI3,586.125075835175
4521780,POI3,586.125075835175
4521790,POI3,591.7627511776319
4521875,POI3,591.7627511776319
4521970,POI3,591.7627511776319
4521978,POI3,680.4630539861636
4522040,POI3,591.7627511776319
4522160,POI3,586.125075835175
4522231,POI3,769.6611559032152
4522296,POI3,672.9524690653427
4522376,POI3,596.9319139426246
4522431,POI3,671.5610518418072
4522487,POI3,597.2406506379064
4522500,POI3,591.5603298000057
4522528,POI3,629.4914064624454
4522564,POI3,629.4914064624454
4522656,POI3,594.2611725310654
4522680,POI3,769.6611559032152
4522747,POI3,596.9319139426246
4522806,POI3,596.9319139426246
4522855,POI3,597.5404191314042
4522895,POI3,591.7627511776319
4522945,POI3,591.7627511776319
4522946,POI3,769.6611559032152
4523019,POI3,594.7095447189165
4523104,POI3,674.2112278398075
4523121,POI3,839.3511438226404
